"ANO","NIVEL","CODIGO","TVV","TCV","TMV","TVVF","TVVM","TVC_22_34","TVC_35_45","VMV","DPV","V_P25","V_P50","V_P75","TPIC","TAIC","TGIC"
2025,"UF",33,50,29,21,27,23,27,22,75363.27,46319.21,24500,89900,112900,3,9,2
2025,"MUNICIPIO",330010,3,1,2,1,2,2,1,46833.33,35345.91,26500,29500,58500,1,0,0
2025,"MUNICIPIO",330070,3,2,1,2,1,1,2,89566.67,62292.32,64400,108900,124400,0,0,1
2025,"MUNICIPIO",330100,5,3,2,2,3,4,1,69540,47081.5,22500,89900,96500,1,1,0
2025,"MUNICIPIO",330170,4,2,2,2,2,1,3,65950,52775.34,24350,59000,100600,0,0,0
2025,"MUNICIPIO",330270,3,2,1,2,1,1,2,81400,49543.01,63650,102500,109700,0,0,0
2025,"MUNICIPIO",330330,5,3,2,3,2,3,2,90850,51126.87,72500,99700,118050,0,1,1
2025,"MUNICIPIO",330350,6,3,3,3,3,4,2,70100,53205.83,23050,62500,113800,0,1,0
2025,"MUNICIPIO",330390,5,3,2,3,2,2,3,83860,58047.33,28500,92000,115000,0,1,0
2025,"MUNICIPIO",330455,7,5,2,4,3,4,2,77928.57,41624.78,50250,89500,105350,1,3,0
2025,"MUNICIPIO",330490,5,3,2,3,2,2,3,78220,50126.96,28900,98500,106900,0,1,0
2025,"MUNICIPIO",330620,4,2,2,2,2,3,1,72000,55892.81,26200,66850,112650,0,1,0
